Message,Value,WPARAM (In),LPARAM (In),WPARAM (Out),LPARAM (Out),LRESULT (Out),MSDN,GitHub
WM_FONTCHANGE,0x001D,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/gdi/wm-fontchange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/gdi/wm-fontchange.md
WM_TIMECHANGE,0x001E,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/sysinfo/wm-timechange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/SysInfo/wm-timechange.md
WM_CANCELMODE,0x001F,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-cancelmode,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-cancelmode.md
WM_SETCURSOR,0x0020,HWND,Enum HT: LOWORD(lParam). Enum WM: HIWORD(lparam),NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-setcursor,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-setcursor.md
WM_MOUSEACTIVATE,0x0021,HWND,Enum HT: LOWORD(lParam). Enum WM: HIWORD(lparam),NULL,NULL,Enum MA (e.g. MA_ACTIVATE),https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mouseactivate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mouseactivate.md
WM_CHILDACTIVATE,0x0022,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-childactivate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-childactivate.md
WM_QUEUESYNC,0x0023,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-queuesync,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-queuesync.md
WM_GETMINMAXINFO,0x0024,NULL,MINMAXINFO*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-getminmaxinfo,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-getminmaxinfo.md
WM_PAINTICON,0x0026,,,,,,,
WM_ICONERASEBKGND,0x0027,,,,,,,
WM_NEXTDLGCTL,0x0028,complex,BOOL: LOWORD(lParam),,,,https://learn.microsoft.com/en-us/windows/win32/dlgbox/wm-nextdlgctl,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dlgbox/wm-nextdlgctl.md
WM_SPOOLERSTATUS,0x002A,PR_JOBSTATUS ,Print Jobs Remaining: LOWORD(lParam),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/printdocs/wm-spoolerstatus,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/printdocs/wm-spoolerstatus.md
WM_DRAWITEM,0x002B,Control Identifier,DRAWITEMSTRUCT*,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/controls/wm-drawitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-drawitem.md
WM_MEASUREITEM,0x002C,Control Identifier,MEASUREITEMSTRUCT*,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/controls/wm-measureitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-measureitem.md
WM_DELETEITEM,0x002D,Control Identifier,DELETEITEMSTRUCT*,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/controls/wm-deleteitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-deleteitem.md
WM_VKEYTOITEM,0x002E,Enum VK: LOWORD(wParam). Caret Position: HIWORD(wParam),List Box HWND,NULL,NULL,complex,https://learn.microsoft.com/en-us/windows/win32/controls/wm-vkeytoitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-vkeytoitem.md
WM_CHARTOITEM,0x002F,Enum VK: LOWORD(wParam). Caret Position: HIWORD(wParam),List Box HWND,NULL,NULL,complex,https://learn.microsoft.com/en-us/windows/win32/controls/wm-chartoitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-chartoitem.md
WM_SETFONT,0x0030,HFONT,BOOL: LOWORD(lParam),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-setfont,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-setfont.md
WM_GETFONT,0x0031,NULL,NULL,NULL,NULL,HFONT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-getfont,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-getfont.md
WM_SETHOTKEY,0x0032,Enum VK: LOWORD(wParam). Enum HOTKEYF: HIWORD(wParam),NULL,NULL,NULL,complex,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-sethotkey,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-sethotkey.md
WM_GETHOTKEY,0x0033,NULL,NULL,NULL,NULL,Enum VK: LOWORD. Enum HOTKEYF: HIWORD,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-gethotkey,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-gethotkey.md
WM_QUERYDRAGICON,0x0037,NULL,NULL,NULL,NULL,Handle to cursor or icon,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-querydragicon,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-querydragicon.md
WM_COMPAREITEM,0x0039,Control Identifier,COMPAREITEMSTRUCT*,NULL,NULL,complex,https://learn.microsoft.com/en-us/windows/win32/controls/wm-compareitem,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-compareitem.md
WM_GETOBJECT,0x003D,,,,,,https://learn.microsoft.com/en-us/windows/win32/winauto/wm-getobject,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/WinAuto/wm-getobject.md
WM_COMPACTING,0x0041,cpu time ratio,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-compacting,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-compacting.md
WM_COMMNOTIFY,0x0044,,,,,,,
WM_WINDOWPOSCHANGING,0x0046,NULL,WINDOWPOS*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-windowposchanging,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-windowposchanging.md
