Message,Value,WPARAM (In),LPARAM (In),WPARAM (Out),LPARAM (Out),LRESULT (Out),MSDN,GitHub
WM_IME_STARTCOMPOSITION,0x010D,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-startcomposition,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-startcomposition.md
WM_IME_ENDCOMPOSITION,0x010E,NULL,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-endcomposition,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-endcomposition.md
WM_IME_COMPOSITION,0x010F,DBCS character,Enum GCS (e.g. GCS_COMPATTR) / Enum CS 9e.g. CS_INSERTCHAR),NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-composition,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-composition.md
WM_INITDIALOG,0x0110,handle,complex,NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/dlgbox/wm-initdialog,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dlgbox/wm-initdialog.md
WM_COMMAND,0x0111,complex,complex,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-command,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-command.md
WM_SYSCOMMAND,0x0112,Enum SC (e.g. SC_CLOSE): HIWORD,"xPos: LOWORD. yPos: HIWORD, key code when SC_KEYMENU",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-syscommand,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-syscommand.md
WM_TIMER,0x0113,Timer identifier,callback function,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-timer,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-timer.md
WM_HSCROLL,0x0114,current position: HIWORD. Enum SB (e.g. SB_ENDSCROLL): LOWORD,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/controls/wm-hscroll,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-hscroll.md
WM_VSCROLL,0x0115,current position: HIWORD. Enum SB (e.g. SB_ENDSCROLL): LOWORD,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/controls/wm-vscroll,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-vscroll.md
WM_INITMENU,0x0116,HWND,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-initmenu,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-initmenu.md
WM_INITMENUPOPUP,0x0117,HWND,position: LOWORD. isWindowMenu: BOOL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-initmenupopup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-initmenupopup.md
WM_GESTURE,0x0119,gesture info,Handle,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/wintouch/wm-gesture,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/wintouch/wm-gesture.md
WM_GESTURENOTIFY,0x011A,NULL,GESTURENOTIFYSTRUCT*,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/wintouch/wm-gesturenotify,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/wintouch/wm-gesturenotify.md
WM_MENUSELECT,0x011F,complex: LOWORD. Enum MF: HIWORD,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menuselect,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menuselect.md
WM_MENUCHAR,0x0120,Enum VK: LOWORD. Enum MF: HIWORD,HWND,NULL,NULL,Enum MNC: HIWORD,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menuchar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menuchar.md
WM_ENTERIDLE,0x0121,Enum MSGF,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/dlgbox/wm-enteridle,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dlgbox/wm-enteridle.md
WM_MENURBUTTONUP,0x0122,Menu Item Index,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menurbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menurbuttonup.md
WM_MENUDRAG,0x0123,Position,HWND,NULL,NULL,Enum MND,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menudrag,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menudrag.md
WM_MENUGETOBJECT,0x0124,NULL,MENUGETOBJECTINFO*,NULL,NULL,Enum MNGO,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menugetobject,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menugetobject.md
WM_UNINITMENUPOPUP,0x0125,HWND,MF_SYSMENU,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-uninitmenupopup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-uninitmenupopup.md
WM_MENUCOMMAND,0x0126,Item Index,HWND,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-menucommand,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-menucommand.md
WM_CHANGEUISTATE,0x0127,Enum UIS: LOWORD. Enum UISF: HIWORD,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-changeuistate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-changeuistate.md
WM_UPDATEUISTATE,0x0128,Enum UIS: LOWORD. Enum UISF: HIWORD,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-updateuistate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-updateuistate.md
WM_QUERYUISTATE,0x0129,NULL,NULL,NULL,NULL,Enum UISF,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-queryuistate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-queryuistate.md
WM_CTLCOLORMSGBOX,0x0132,,,,,,,
WM_CTLCOLOREDIT,0x0133,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/controls/wm-ctlcoloredit,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-ctlcoloredit.md
WM_CTLCOLORLISTBOX,0x0134,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/controls/wm-ctlcolorlistbox,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-ctlcolorlistbox.md
WM_CTLCOLORBTN,0x0135,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/controls/wm-ctlcolorbtn,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-ctlcolorbtn.md
WM_CTLCOLORDLG,0x0136,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/dlgbox/wm-ctlcolordlg,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dlgbox/wm-ctlcolordlg.md
WM_CTLCOLORSCROLLBAR,0x0137,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/controls/wm-ctlcolorscrollbar,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-ctlcolorscrollbar.md
WM_CTLCOLORSTATIC,0x0138,HDC,HWND,NULL,NULL,HBRUSH,https://learn.microsoft.com/en-us/windows/win32/controls/wm-ctlcolorstatic,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-ctlcolorstatic.md
WM_MOUSEMOVE,0x0200,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mousemove,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mousemove.md
WM_LBUTTONDOWN,0x0201,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-lbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-lbuttondown.md
WM_LBUTTONUP,0x0202,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-lbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-lbuttonup.md
WM_LBUTTONDBLCLK,0x0203,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-lbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-lbuttondblclk.md
WM_RBUTTONDOWN,0x0204,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-rbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-rbuttondown.md
WM_RBUTTONUP,0x0205,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-rbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-rbuttonup.md
WM_RBUTTONDBLCLK,0x0206,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-rbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-rbuttondblclk.md
WM_MBUTTONDOWN,0x0207,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mbuttondown.md
WM_MBUTTONUP,0x0208,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mbuttonup.md
WM_MBUTTONDBLCLK,0x0209,Enum MK,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mbuttondblclk.md
WM_MOUSEWHEEL,0x020A,complex: HIWORD. Enum MK: LOWORD,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mousewheel,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mousewheel.md
WM_XBUTTONDOWN,0x020B,Enum MK: LOWORD. Enum XBUTTON: HIWORD,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-xbuttondown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-xbuttondown.md
WM_XBUTTONUP,0x020C,Enum MK: LOWORD. Enum XBUTTON: HIWORD,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-xbuttonup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-xbuttonup.md
WM_XBUTTONDBLCLK,0x020D,Enum MK: LOWORD. Enum XBUTTON: HIWORD,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,TRUE/FALSE,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-xbuttondblclk,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-xbuttondblclk.md
WM_MOUSEHWHEEL,0x020E,complex: HIWORD. Enum MK: LOWORD,"xPos: LOWORD, yPos: HIWORD",NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mousehwheel,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mousehwheel.md
WM_MOUSELAST,0x020E,,,,,,,
WM_MOUSELAST,0x020D,,,,,,,
WM_MOUSELAST,0x020A,,,,,,,
WM_MOUSELAST,0x0209,,,,,,,
WM_PARENTNOTIFY,0x0210,"ENUM WM: LOWORD, complex: HIWORD",X and Y coordinates,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-parentnotify,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-parentnotify.md
WM_ENTERMENULOOP,0x0211,TRUE/FALSE,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-entermenuloop,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-entermenuloop.md
WM_EXITMENULOOP,0x0212,TRUE/FALSE,NULL,NULL,NULL,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-exitmenuloop,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-exitmenuloop.md
WM_NEXTMENU,0x0213,Enum VK,MDINEXTMENU*,NULL,MDINEXTMENU*,LRESULT,https://learn.microsoft.com/en-us/windows/win32/menurc/wm-nextmenu,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/menurc/wm-nextmenu.md
WM_SIZING,0x0214,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-sizing,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-sizing.md
WM_CAPTURECHANGED,0x0215,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-capturechanged,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-capturechanged.md
WM_MOVING,0x0216,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-moving,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-moving.md
WM_POWERBROADCAST,0x0218,,,,,,https://learn.microsoft.com/en-us/windows/win32/power/wm-powerbroadcast,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Power/wm-powerbroadcast.md
WM_DEVICECHANGE,0x0219,,,,,,https://learn.microsoft.com/en-us/windows/win32/devio/wm-devicechange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/DevIO/wm-devicechange.md
WM_MDICREATE,0x0220,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdicreate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdicreate.md
WM_MDIDESTROY,0x0221,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdidestroy,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdidestroy.md
WM_MDIACTIVATE,0x0222,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdiactivate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdiactivate.md
WM_MDIRESTORE,0x0223,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdirestore,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdirestore.md
WM_MDINEXT,0x0224,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdinext,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdinext.md
WM_MDIMAXIMIZE,0x0225,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdimaximize,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdimaximize.md
WM_MDITILE,0x0226,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mditile,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mditile.md
WM_MDICASCADE,0x0227,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdicascade,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdicascade.md
WM_MDIICONARRANGE,0x0228,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdiiconarrange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdiiconarrange.md
WM_MDIGETACTIVE,0x0229,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdigetactive,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdigetactive.md
WM_MDISETMENU,0x0230,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdisetmenu,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdisetmenu.md
WM_ENTERSIZEMOVE,0x0231,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-entersizemove,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-entersizemove.md
WM_EXITSIZEMOVE,0x0232,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-exitsizemove,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-exitsizemove.md
WM_DROPFILES,0x0233,,,,,,https://learn.microsoft.com/en-us/windows/win32/shell/wm-dropfiles,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/shell/wm-dropfiles.md
WM_MDIREFRESHMENU,0x0234,,,,,,https://learn.microsoft.com/en-us/windows/win32/winmsg/wm-mdirefreshmenu,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/winmsg/wm-mdirefreshmenu.md
WM_POINTERDEVICECHANGE,0x238,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerdevicechange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerdevicechange.md
WM_POINTERDEVICEINRANGE,0x239,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerdeviceinrange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerdeviceinrange.md
WM_POINTERDEVICEOUTOFRANGE,0x23A,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerdeviceoutofrange,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerdeviceoutofrange.md
WM_TOUCH,0x0240,,,,,,https://learn.microsoft.com/en-us/windows/win32/wintouch/wm-touchdown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/wintouch/wm-touchdown.md
WM_NCPOINTERUPDATE,0x0241,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-ncpointerupdate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-ncpointerupdate.md
WM_NCPOINTERDOWN,0x0242,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-ncpointerdown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-ncpointerdown.md
WM_NCPOINTERUP,0x0243,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-ncpointerup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-ncpointerup.md
WM_POINTERUPDATE,0x0245,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerupdate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerupdate.md
WM_POINTERDOWN,0x0246,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerdown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerdown.md
WM_POINTERUP,0x0247,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerup.md
WM_POINTERENTER,0x0249,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerenter,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerenter.md
WM_POINTERLEAVE,0x024A,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerleave,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerleave.md
WM_POINTERACTIVATE,0x024B,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointeractivate,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointeractivate.md
WM_POINTERCAPTURECHANGED,0x024C,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointercapturechanged,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointercapturechanged.md
WM_TOUCHHITTESTING,0x024D,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-touchhittesting,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-touchhittesting.md
WM_POINTERWHEEL,0x024E,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerwheel,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerwheel.md
WM_POINTERHWHEEL,0x024F,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputmsg/wm-pointerhwheel,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputmsg/wm-pointerhwheel.md
WM_IME_SETCONTEXT,0x0281,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-setcontext,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-setcontext.md
WM_IME_NOTIFY,0x0282,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-notify,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-notify.md
WM_IME_CONTROL,0x0283,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-control,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-control.md
WM_IME_COMPOSITIONFULL,0x0284,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-compositionfull,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-compositionfull.md
WM_IME_SELECT,0x0285,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-select,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-select.md
WM_IME_CHAR,0x0286,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-char,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-char.md
WM_IME_REQUEST,0x0288,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-request,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-request.md
WM_IME_KEYDOWN,0x0290,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-keydown,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-keydown.md
WM_IME_KEYUP,0x0291,,,,,,https://learn.microsoft.com/en-us/windows/win32/intl/wm-ime-keyup,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Intl/wm-ime-keyup.md
WM_MOUSEHOVER,0x02A1,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mousehover,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mousehover.md
WM_MOUSELEAVE,0x02A3,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-mouseleave,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-mouseleave.md
WM_NCMOUSEHOVER,0x02A0,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmousehover,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmousehover.md
WM_NCMOUSELEAVE,0x02A2,,,,,,https://learn.microsoft.com/en-us/windows/win32/inputdev/wm-ncmouseleave,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/inputdev/wm-ncmouseleave.md
WM_WTSSESSION_CHANGE,0x02B1,,,,,,https://learn.microsoft.com/en-us/windows/win32/termserv/wm-wtssession-change,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/TermServ/wm-wtssession-change.md
WM_TABLET_FIRST,0x02c0,,,,,,,
WM_TABLET_LAST,0x02df,,,,,,,
WM_CUT,0x0300,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-cut,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-cut.md
WM_COPY,0x0301,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-copy,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-copy.md
WM_PASTE,0x0302,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-paste,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-paste.md
WM_CLEAR,0x0303,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-clear,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-clear.md
WM_UNDO,0x0304,,,,,,https://learn.microsoft.com/en-us/windows/win32/controls/wm-undo,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/Controls/wm-undo.md
WM_RENDERFORMAT,0x0305,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-renderformat,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-renderformat.md
WM_RENDERALLFORMATS,0x0306,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-renderallformats,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-renderallformats.md
WM_DESTROYCLIPBOARD,0x0307,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-destroyclipboard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-destroyclipboard.md
WM_DRAWCLIPBOARD,0x0308,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-drawclipboard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-drawclipboard.md
WM_PAINTCLIPBOARD,0x0309,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-paintclipboard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-paintclipboard.md
WM_VSCROLLCLIPBOARD,0x030A,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-vscrollclipboard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-vscrollclipboard.md
WM_SIZECLIPBOARD,0x030B,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-sizeclipboard,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-sizeclipboard.md
WM_ASKCBFORMATNAME,0x030C,,,,,,https://learn.microsoft.com/en-us/windows/win32/dataxchg/wm-askcbformatname,https://github.com/MicrosoftDocs/win32/blob/docs/desktop-src/dataxchg/wm-askcbformatname.md
